Urn,AnalyticalClass,Label
urn:cite:morph:form.cv02522,conjverb,conjugated verb: 1st plural pluperfect optative passive
urn:cite:morph:form.cv02530,conjverb,conjugated verb: 1st plural pluperfect imperative active
urn:cite:morph:form.cv02531,conjverb,conjugated verb: 1st plural pluperfect imperative middle
urn:cite:morph:form.cv02532,conjverb,conjugated verb: 1st plural pluperfect imperative passive
urn:cite:morph:form.cv10000,conjverb,conjugated verb: 2nd singular present indicative active
urn:cite:morph:form.cv10001,conjverb,conjugated verb: 2nd singular present indicative middle
urn:cite:morph:form.cv10002,conjverb,conjugated verb: 2nd singular present indicative passive
urn:cite:morph:form.cv10010,conjverb,conjugated verb: 2nd singular present subjunctive active
urn:cite:morph:form.cv10011,conjverb,conjugated verb: 2nd singular present subjunctive middle
urn:cite:morph:form.cv10012,conjverb,conjugated verb: 2nd singular present subjunctive passive
urn:cite:morph:form.cv10020,conjverb,conjugated verb: 2nd singular present optative active
urn:cite:morph:form.cv10021,conjverb,conjugated verb: 2nd singular present optative middle
urn:cite:morph:form.cv10022,conjverb,conjugated verb: 2nd singular present optative passive
urn:cite:morph:form.cv10030,conjverb,conjugated verb: 2nd singular present imperative active
urn:cite:morph:form.cv10031,conjverb,conjugated verb: 2nd singular present imperative middle
urn:cite:morph:form.cv10032,conjverb,conjugated verb: 2nd singular present imperative passive
urn:cite:morph:form.cv10100,conjverb,conjugated verb: 2nd singular imperfect indicative active
urn:cite:morph:form.cv10101,conjverb,conjugated verb: 2nd singular imperfect indicative middle
urn:cite:morph:form.cv10102,conjverb,conjugated verb: 2nd singular imperfect indicative passive
urn:cite:morph:form.cv10110,conjverb,conjugated verb: 2nd singular imperfect subjunctive active
urn:cite:morph:form.cv10111,conjverb,conjugated verb: 2nd singular imperfect subjunctive middle
urn:cite:morph:form.cv10112,conjverb,conjugated verb: 2nd singular imperfect subjunctive passive
urn:cite:morph:form.cv10120,conjverb,conjugated verb: 2nd singular imperfect optative active
urn:cite:morph:form.cv10121,conjverb,conjugated verb: 2nd singular imperfect optative middle
urn:cite:morph:form.cv10122,conjverb,conjugated verb: 2nd singular imperfect optative passive
urn:cite:morph:form.cv10130,conjverb,conjugated verb: 2nd singular imperfect imperative active
urn:cite:morph:form.cv10131,conjverb,conjugated verb: 2nd singular imperfect imperative middle
urn:cite:morph:form.cv10132,conjverb,conjugated verb: 2nd singular imperfect imperative passive
urn:cite:morph:form.cv10200,conjverb,conjugated verb: 2nd singular future indicative active
urn:cite:morph:form.cv10201,conjverb,conjugated verb: 2nd singular future indicative middle
urn:cite:morph:form.cv10202,conjverb,conjugated verb: 2nd singular future indicative passive
urn:cite:morph:form.cv10210,conjverb,conjugated verb: 2nd singular future subjunctive active
urn:cite:morph:form.cv10211,conjverb,conjugated verb: 2nd singular future subjunctive middle
urn:cite:morph:form.cv10212,conjverb,conjugated verb: 2nd singular future subjunctive passive
urn:cite:morph:form.cv10220,conjverb,conjugated verb: 2nd singular future optative active
urn:cite:morph:form.cv10221,conjverb,conjugated verb: 2nd singular future optative middle
urn:cite:morph:form.cv10222,conjverb,conjugated verb: 2nd singular future optative passive
urn:cite:morph:form.cv10230,conjverb,conjugated verb: 2nd singular future imperative active
urn:cite:morph:form.cv10231,conjverb,conjugated verb: 2nd singular future imperative middle
urn:cite:morph:form.cv10232,conjverb,conjugated verb: 2nd singular future imperative passive
urn:cite:morph:form.cv10300,conjverb,conjugated verb: 2nd singular aorist indicative active
urn:cite:morph:form.cv10301,conjverb,conjugated verb: 2nd singular aorist indicative middle
urn:cite:morph:form.cv10302,conjverb,conjugated verb: 2nd singular aorist indicative passive
urn:cite:morph:form.cv10310,conjverb,conjugated verb: 2nd singular aorist subjunctive active
urn:cite:morph:form.cv10311,conjverb,conjugated verb: 2nd singular aorist subjunctive middle
urn:cite:morph:form.cv10312,conjverb,conjugated verb: 2nd singular aorist subjunctive passive
urn:cite:morph:form.cv10320,conjverb,conjugated verb: 2nd singular aorist optative active
urn:cite:morph:form.cv10321,conjverb,conjugated verb: 2nd singular aorist optative middle
urn:cite:morph:form.cv10322,conjverb,conjugated verb: 2nd singular aorist optative passive
urn:cite:morph:form.cv10330,conjverb,conjugated verb: 2nd singular aorist imperative active
urn:cite:morph:form.cv10331,conjverb,conjugated verb: 2nd singular aorist imperative middle
urn:cite:morph:form.cv10332,conjverb,conjugated verb: 2nd singular aorist imperative passive
urn:cite:morph:form.cv10400,conjverb,conjugated verb: 2nd singular perfect indicative active
urn:cite:morph:form.cv10401,conjverb,conjugated verb: 2nd singular perfect indicative middle
urn:cite:morph:form.cv10402,conjverb,conjugated verb: 2nd singular perfect indicative passive
urn:cite:morph:form.cv10410,conjverb,conjugated verb: 2nd singular perfect subjunctive active
urn:cite:morph:form.cv10411,conjverb,conjugated verb: 2nd singular perfect subjunctive middle
urn:cite:morph:form.cv10412,conjverb,conjugated verb: 2nd singular perfect subjunctive passive
urn:cite:morph:form.cv10420,conjverb,conjugated verb: 2nd singular perfect optative active
urn:cite:morph:form.cv10421,conjverb,conjugated verb: 2nd singular perfect optative middle
urn:cite:morph:form.cv10422,conjverb,conjugated verb: 2nd singular perfect optative passive
urn:cite:morph:form.cv10430,conjverb,conjugated verb: 2nd singular perfect imperative active
urn:cite:morph:form.cv10431,conjverb,conjugated verb: 2nd singular perfect imperative middle
urn:cite:morph:form.cv10432,conjverb,conjugated verb: 2nd singular perfect imperative passive
urn:cite:morph:form.cv10500,conjverb,conjugated verb: 2nd singular pluperfect indicative active
urn:cite:morph:form.cv10501,conjverb,conjugated verb: 2nd singular pluperfect indicative middle
urn:cite:morph:form.cv10502,conjverb,conjugated verb: 2nd singular pluperfect indicative passive
urn:cite:morph:form.cv10510,conjverb,conjugated verb: 2nd singular pluperfect subjunctive active
urn:cite:morph:form.cv10511,conjverb,conjugated verb: 2nd singular pluperfect subjunctive middle
urn:cite:morph:form.cv10512,conjverb,conjugated verb: 2nd singular pluperfect subjunctive passive
urn:cite:morph:form.cv10520,conjverb,conjugated verb: 2nd singular pluperfect optative active
urn:cite:morph:form.cv10521,conjverb,conjugated verb: 2nd singular pluperfect optative middle
urn:cite:morph:form.cv10522,conjverb,conjugated verb: 2nd singular pluperfect optative passive
urn:cite:morph:form.cv10530,conjverb,conjugated verb: 2nd singular pluperfect imperative active
urn:cite:morph:form.cv10531,conjverb,conjugated verb: 2nd singular pluperfect imperative middle
urn:cite:morph:form.cv10532,conjverb,conjugated verb: 2nd singular pluperfect imperative passive
urn:cite:morph:form.cv11000,conjverb,conjugated verb: 2nd dual present indicative active
urn:cite:morph:form.cv11001,conjverb,conjugated verb: 2nd dual present indicative middle
urn:cite:morph:form.cv11002,conjverb,conjugated verb: 2nd dual present indicative passive
urn:cite:morph:form.cv11010,conjverb,conjugated verb: 2nd dual present subjunctive active
urn:cite:morph:form.cv11011,conjverb,conjugated verb: 2nd dual present subjunctive middle
urn:cite:morph:form.cv11012,conjverb,conjugated verb: 2nd dual present subjunctive passive
urn:cite:morph:form.cv11020,conjverb,conjugated verb: 2nd dual present optative active
urn:cite:morph:form.cv11021,conjverb,conjugated verb: 2nd dual present optative middle
urn:cite:morph:form.cv11022,conjverb,conjugated verb: 2nd dual present optative passive
urn:cite:morph:form.cv11030,conjverb,conjugated verb: 2nd dual present imperative active
urn:cite:morph:form.cv11031,conjverb,conjugated verb: 2nd dual present imperative middle
urn:cite:morph:form.cv11032,conjverb,conjugated verb: 2nd dual present imperative passive
urn:cite:morph:form.cv11100,conjverb,conjugated verb: 2nd dual imperfect indicative active
urn:cite:morph:form.cv11101,conjverb,conjugated verb: 2nd dual imperfect indicative middle
urn:cite:morph:form.cv11102,conjverb,conjugated verb: 2nd dual imperfect indicative passive
urn:cite:morph:form.cv11110,conjverb,conjugated verb: 2nd dual imperfect subjunctive active
urn:cite:morph:form.cv11111,conjverb,conjugated verb: 2nd dual imperfect subjunctive middle
urn:cite:morph:form.cv11112,conjverb,conjugated verb: 2nd dual imperfect subjunctive passive
urn:cite:morph:form.cv11120,conjverb,conjugated verb: 2nd dual imperfect optative active
urn:cite:morph:form.cv11121,conjverb,conjugated verb: 2nd dual imperfect optative middle
urn:cite:morph:form.cv11122,conjverb,conjugated verb: 2nd dual imperfect optative passive
urn:cite:morph:form.cv11130,conjverb,conjugated verb: 2nd dual imperfect imperative active
urn:cite:morph:form.cv11131,conjverb,conjugated verb: 2nd dual imperfect imperative middle
urn:cite:morph:form.cv11132,conjverb,conjugated verb: 2nd dual imperfect imperative passive
urn:cite:morph:form.cv11200,conjverb,conjugated verb: 2nd dual future indicative active
urn:cite:morph:form.cv11201,conjverb,conjugated verb: 2nd dual future indicative middle
urn:cite:morph:form.cv11202,conjverb,conjugated verb: 2nd dual future indicative passive
urn:cite:morph:form.cv11210,conjverb,conjugated verb: 2nd dual future subjunctive active
urn:cite:morph:form.cv11211,conjverb,conjugated verb: 2nd dual future subjunctive middle
urn:cite:morph:form.cv11212,conjverb,conjugated verb: 2nd dual future subjunctive passive
urn:cite:morph:form.cv11220,conjverb,conjugated verb: 2nd dual future optative active
urn:cite:morph:form.cv11221,conjverb,conjugated verb: 2nd dual future optative middle
urn:cite:morph:form.cv11222,conjverb,conjugated verb: 2nd dual future optative passive
urn:cite:morph:form.cv11230,conjverb,conjugated verb: 2nd dual future imperative active
urn:cite:morph:form.cv11231,conjverb,conjugated verb: 2nd dual future imperative middle
urn:cite:morph:form.cv11232,conjverb,conjugated verb: 2nd dual future imperative passive
urn:cite:morph:form.cv11300,conjverb,conjugated verb: 2nd dual aorist indicative active
urn:cite:morph:form.cv11301,conjverb,conjugated verb: 2nd dual aorist indicative middle
urn:cite:morph:form.cv11302,conjverb,conjugated verb: 2nd dual aorist indicative passive
urn:cite:morph:form.cv11310,conjverb,conjugated verb: 2nd dual aorist subjunctive active
urn:cite:morph:form.cv11311,conjverb,conjugated verb: 2nd dual aorist subjunctive middle
urn:cite:morph:form.cv11312,conjverb,conjugated verb: 2nd dual aorist subjunctive passive
urn:cite:morph:form.cv11320,conjverb,conjugated verb: 2nd dual aorist optative active
