urn,normalizedlemma,shortdef
urn:cite:perseus:lexentity.lex398.1,Βίσουργις,""
urn:cite:perseus:lexentity.lex399.1,Βίστονες,""
urn:cite:perseus:lexentity.lex400.1,Βίτοιτος,""
urn:cite:perseus:lexentity.lex401.1,Βίτων,""
urn:cite:perseus:lexentity.lex402.1,Βίων,""
urn:cite:perseus:lexentity.lex403.1,Βαίβιος,""
urn:cite:perseus:lexentity.lex404.1,Βαίκυλα,""
urn:cite:perseus:lexentity.lex405.1,Βαίτιος,""
urn:cite:perseus:lexentity.lex406.1,Βαίτων,""
urn:cite:perseus:lexentity.lex408.1,Βαβράντιον,""
urn:cite:perseus:lexentity.lex409.1,Βαβράντιος,""
urn:cite:perseus:lexentity.lex410.1,Βαβυλωνίς,""
urn:cite:perseus:lexentity.lex411.1,Βαβυλωνεύς,""
urn:cite:perseus:lexentity.lex412.1,Βαβυλωνιακός,""
urn:cite:perseus:lexentity.lex413.1,Βαβυλών,""
urn:cite:perseus:lexentity.lex414.1,Βαβυλώνιος,""
urn:cite:perseus:lexentity.lex416.1,Βαγίσαρα,""
urn:cite:perseus:lexentity.lex417.1,Βαγίστανον,""
urn:cite:perseus:lexentity.lex418.1,Βαγαδανία,""
urn:cite:perseus:lexentity.lex419.1,Βαγαῖος,""
urn:cite:perseus:lexentity.lex420.1,Βαγιστάνη,""
urn:cite:perseus:lexentity.lex421.1,Βαγράδας,""
urn:cite:perseus:lexentity.lex422.1,Βαγωδάρας,""
urn:cite:perseus:lexentity.lex423.1,Βαγώας,""
urn:cite:perseus:lexentity.lex425.1,Βαδακή,""
urn:cite:perseus:lexentity.lex426.1,Βαδρόμιος,""
urn:cite:perseus:lexentity.lex427.1,Βαζαφράνης,""
urn:cite:perseus:lexentity.lex428.1,Βαζαῖος,""
urn:cite:perseus:lexentity.lex429.1,Βαθεῖα,""
urn:cite:perseus:lexentity.lex431.1,Βαθυκλεύς,""
urn:cite:perseus:lexentity.lex432.1,Βαθυκλῆς,""
urn:cite:perseus:lexentity.lex433.1,Βαθύλλιος,""
urn:cite:perseus:lexentity.lex435.1,Βαθύς,""
urn:cite:perseus:lexentity.lex436.1,Βαιτουρία,""
urn:cite:perseus:lexentity.lex437.1,Βακίζω,""
urn:cite:perseus:lexentity.lex438.1,Βακίνθιος,""
urn:cite:perseus:lexentity.lex439.1,Βακίς,""
urn:cite:perseus:lexentity.lex441.1,Βακτριανής,""
urn:cite:perseus:lexentity.lex442.1,Βακτριανός,""
urn:cite:perseus:lexentity.lex443.1,Βακχάω,""
urn:cite:perseus:lexentity.lex444.1,Βακχέβακχον,""
urn:cite:perseus:lexentity.lex445.1,Βακχέχορος,""
urn:cite:perseus:lexentity.lex446.1,Βακχίδης,""
urn:cite:perseus:lexentity.lex447.1,Βακχίς,""
urn:cite:perseus:lexentity.lex448.1,Βακχεία,""
urn:cite:perseus:lexentity.lex449.1,Βακχειακός,""
urn:cite:perseus:lexentity.lex450.1,Βακχειοχόρειος,""
urn:cite:perseus:lexentity.lex451.1,Βακχευτής,""
urn:cite:perseus:lexentity.lex452.1,Βακχευτικός,""
urn:cite:perseus:lexentity.lex453.1,Βακχεύς,""
urn:cite:perseus:lexentity.lex454.1,Βακχεύσιμος,""
urn:cite:perseus:lexentity.lex455.1,Βακχεύτωρ,""
urn:cite:perseus:lexentity.lex456.1,Βακχεύω,""
urn:cite:perseus:lexentity.lex457.1,Βακχεῖα,""
urn:cite:perseus:lexentity.lex458.1,Βακχεῖον,""
urn:cite:perseus:lexentity.lex459.1,Βακχιάδαι,""
urn:cite:perseus:lexentity.lex460.1,Βακχιάζω,""
urn:cite:perseus:lexentity.lex461.1,Βακχιάς,""
urn:cite:perseus:lexentity.lex462.1,Βακχιακός,""
urn:cite:perseus:lexentity.lex463.1,Βακχικός,""
urn:cite:perseus:lexentity.lex464.1,Βακχισταί,""
urn:cite:perseus:lexentity.lex465.1,Βακχιόω,""
urn:cite:perseus:lexentity.lex466.1,Βακχιών,""
