StemUrn,LexicalEntity,StemString,InflClass,Tags
lsjpool.n4582_0,lexent.n4582,:de:h)-log,ew_denom,
lsjpool.n4631_0,lexent.n4631,:de:a)lok,izw,
lsjpool.n4702_0,lexent.n4702,:de:a)lukt,azw,
lsjpool.n4703_0,lexent.n4703,:de:a)lukt,ew_denom,
lsjpool.n4729_0,lexent.n4729,:de:a)lusk,azw,
lsjpool.n4735_0,lexent.n4735,:de:a)lu,ss,
lsjpool.n4758_0,lexent.n4758,:de:a)lf,anw,
lsjpool.n4785_0,lexent.n4785,:de:a)lfi^to-si_t,ew_denom,
lsjpool.n4825_0,lexent.n4825,:de:a)lwpek,izw,
lsjpool.n4855_0,lexent.n4855,:de:a)ma^q,ainw,
lsjpool.n4862_0,lexent.n4862,:de:a)ma^q,unw,
lsjpool.n4875_0,lexent.n4875,:de:a)mald,unw,
lsjpool.n4913_0,lexent.n4913,:de:a^(mac,euw,
lsjpool.n4958_0,lexent.n4958,:de:a(mart,anw,
lsjpool.n4981_0,lexent.n4981,:de:a)ma^ru,ss,
lsjpool.n4992_0,lexent.n4992,:de:a(ma-trox,aw_denom,
lsjpool.n5001_0,lexent.n5001,:de:a)^maur,ow_denom,
lsjpool.n5011_0,lexent.n5011,:de:a)_m,a_stem,
lsjpool.n5011_0,lexent.n5011,:de:a)^m,a_stem,
lsjpool.n5012_0,lexent.n5012,:de:a)m,a_stem,
lsjpool.n5024_0,lexent.n5024,:de:a)mbli,skw,
lsjpool.n5024_0,lexent.n5024,:de:a)mbl,ow_denom,
lsjpool.n5033_0,lexent.n5033,:de:a)mbl,unw,
lsjpool.n5044_0,lexent.n5044,:de:a)mblu-wp,ew_denom,
lsjpool.n5050_0,lexent.n5050,:de:a)mbluw,ss,
lsjpool.n5115_0,lexent.n5115,:de:a)m,eirw,
lsjpool.n5125_0,lexent.n5125,:de:a)^melg,reg_conj,
lsjpool.n5131_0,lexent.n5131,:de:a)^mel,ew_denom,
lsjpool.n5153_0,lexent.n5153,:de:a)menhn,ow_denom,
lsjpool.n5159_0,lexent.n5159,:de:a)^merg,reg_conj,
lsjpool.n5160_0,lexent.n5160,:de:a)^merd,reg_conj,
lsjpool.n5228_0,lexent.n5228,:de:a)m,euw,
lsjpool.n5270_0,lexent.n5270,:de:a)miqr,ew_denom,
lsjpool.n5276_0,lexent.n5276,:de:a(mill,aw_denom,
lsjpool.n7007_0,lexent.n7007,:de:a)mn,a_stem,
lsjpool.n5358_0,lexent.n5358,:de:a)mnhmon,ew_denom,
lsjpool.n5367_0,lexent.n5367,:de:a)mnhst,ew_denom,
lsjpool.n5367_0,lexent.n5367,:de:a)mna_st,ew_denom,
lsjpool.n5399_0,lexent.n5399,:de:a)moir,ew_denom,
lsjpool.n5502_0,lexent.n5502,:de:a)mpelourg,ew_denom,
lsjpool.n5525_0,lexent.n5525,:de:a)^mplaki,skw,
lsjpool.n5525_0,lexent.n5525,:de:a)^mblak,anw,
lsjpool.n5525_0,lexent.n5525,:de:a)^mplak,anw,
lsjpool.n5543_0,lexent.n5543,:de:a)mpu^k,azw,
lsjpool.n5607_0,lexent.n5607,:de:a)m,unw,
lsjpool.n5622_0,lexent.n5622,:de:a)mu,ss,
lsjpool.n5626_0,lexent.n5626,:de:a)must,izw,
lsjpool.n5705_0,lexent.n5705,:de:a)mfiaz,reg_conj,
lsjpool.n5705_0,lexent.n5705,:de:a)mfiez,reg_conj,
lsjpool.n5815_0,lexent.n5815,:de:a)mfi,e_stem,
lsjpool.n6058_0,lexent.n6058,:de:sbht,ew_denom,
lsjpool.n6058_0,lexent.n6058,:de:sba^t,ew_denom,
lsjpool.n6058_0,lexent.n6058,:de:a)mfisbht,ew_denom,
lsjpool.n6167_0,lexent.n6167,:de:a)mfoter,izw,
lsjpool.n6325_0,lexent.n6325,:de:a)nagk,azw,
lsjpool.n6583_0,lexent.n6583,:de:a)n-aid,euw,
lsjpool.n6607_0,lexent.n6607,:de:a)n,ainw,
lsjpool.n6623_0,lexent.n6623,:de:a)n-aisqht,ew_denom,
lsjpool.n6626_0,lexent.n6626,:de:a)naisi^m,ow_denom,
lsjpool.n6631_0,lexent.n6631,:de:a)n-aisxunt,ew_denom,
lsjpool.n6905_0,lexent.n6905,:de:a)_l,iskw,
lsjpool.n6905_0,lexent.n6905,:de:a)_l,o_stem,
lsjpool.n7367_0,lexent.n7367,:de:a)n-armost,ew_denom,
lsjpool.n7504_0,lexent.n7504,:de:a)na,ss,
lsjpool.n7858_0,lexent.n7858,:de:a(^d,anw,
lsjpool.n7874_0,lexent.n7874,:de:a)ndr-a^ga^q,ew_denom,
lsjpool.n7878_0,lexent.n7878,:de:a)ndr-a^ga^q,izw,
lsjpool.n7888_0,lexent.n7888,:de:a)ndra^-pod,izw,
lsjpool.n7925_0,lexent.n7925,:de:a)ndr-hla^t,ew_denom,
lsjpool.n7938_0,lexent.n7938,:de:a)ndrianto-poi,ew_denom,
lsjpool.n7945_0,lexent.n7945,:de:a)ndr,izw,
lsjpool.n7994_0,lexent.n7994,:de:a)ndro-kton,ew_denom,
lsjpool.n8034_0,lexent.n8034,:de:a)ndro-fa^g,ew_denom,
lsjpool.n8045_0,lexent.n8045,:de:a)ndr,ow_denom,
lsjpool.n8226_0,lexent.n8226,:de:a)nem,izw,
lsjpool.n8619_0,lexent.n8619,:de:a)n-hkoust,ew_denom,
lsjpool.n8741_0,lexent.n8741,:de:a)nq,ew_denom,
lsjpool.n8765_0,lexent.n8765,:de:a)nq,izw,
lsjpool.n8779_0,lexent.n8779,:de:a)nqo-bol,ew_denom,
lsjpool.n8787_0,lexent.n8787,:de:a)nqo-kom,ew_denom,
lsjpool.n8789_0,lexent.n8789,:de:a)nqo-kra^t,ew_denom,
lsjpool.n8822_0,lexent.n8822,:de:a)nqo-for,ew_denom,
lsjpool.n8834_0,lexent.n8834,:de:a)nqra^k,izw,
lsjpool.n8861_0,lexent.n8861,:de:a)nqrwp,euw,
lsjpool.n8863_0,lexent.n8863,:de:a)nqrwp,izw,
lsjpool.n8910_0,lexent.n8910,:de:a)nqrwpo-sfa^g,ew_denom,
lsjpool.n8913_0,lexent.n8913,:de:a)nqrwpo-fa^g,ew_denom,
lsjpool.n8936_0,lexent.n8936,:de:a)nqupa^t,euw,
lsjpool.n8981_0,lexent.n8981,:de:a)ni_,azw,
lsjpool.n8993_0,lexent.n8993,:de:a)n,iaw_denom,
lsjpool.n9014_0,lexent.n9014,:de:a)ni,e_stem,
lsjpool.n9146_0,lexent.n9146,:de:a)noig,reg_conj,
lsjpool.n9190_0,lexent.n9190,:de:a)nokwx,euw,
lsjpool.n9190_0,lexent.n9190,:de:kwx,euw,
lsjpool.n9211_0,lexent.n9211,:de:a)-nom,ew_denom,
lsjpool.n9241_0,lexent.n9241,:de:a)nomoi,ow_denom,
lsjpool.n9294_0,lexent.n9294,:de:o)rtal,izw,
lsjpool.n9379_0,lexent.n9379,:de:a)nta^gwnist,ew_denom,
lsjpool.n9525_0,lexent.n9525,:de:a)ntaug,ew_denom,
lsjpool.n9533_0,lexent.n9533,:de:a)nt,aw_denom,
lsjpool.n9533_0,lexent.n9533,:de:a)nt,ew_denom,
lsjpool.n9780_0,lexent.n9780,:de:a)nti,azw,
lsjpool.n9787_0,lexent.n9787,:de:a)nti,a_stem,
lsjpool.n9818_0,lexent.n9818,:de:a)nti-bol,ew_denom,
lsjpool.n9818_0,lexent.n9818,:de:bol,ew_denom,
lsjpool.n9839_0,lexent.n9839,:de:a)ntignwmon	ew_denom,null,
lsjpool.n10220_0,lexent.n10220,:de:a)ntico,ew_denom,
lsjpool.n10225_0,lexent.n10225,:de:a)nti,o_stem,
lsjpool.n10227_0,lexent.n10227,:de:a)ntio-sta^t,ew_denom,
lsjpool.n10517_0,lexent.n10517,:de:a)ntista^t,ew_denom,
lsjpool.n10645_0,lexent.n10645,:de:a)nti-fer,izw,
lsjpool.n10728_0,lexent.n10728,:de:a)ntl,ew_denom,
lsjpool.n10776_0,lexent.n10776,:de:a)nt-ofqalm,ew_denom,
lsjpool.n10870_0,lexent.n10870,:de:a)nupodht,ew_denom,
lsjpool.n10921_0,lexent.n10921,:de:a(^nu^,reg_conj,
